Timestamp,What is your age group?,What is your level of familiarity with AI?,Do you use any AI-powered devices or applications daily?,In what areas do you use AI on a daily basis?,How much do you trust AI to make decisions in your daily life?,Do you think AI enhances your productivity in daily tasks?,Do you believe AI will play a significant role in shaping the future?,In which areas do you think AI will have the biggest impact in the future?,What benefits do you foresee with the advancement of AI? ,What concerns do you have regarding AI in the future?,Should there be regulations on the development and use of AI?,Do you think AI will improve or worsen human society in the long run?,What is your overall opinion on AI?,Would you be interested in learning more about AI and its applications in the future?
3/3/2025 22:12:05,18 - 24,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Worsen,Neutral,Yes
3/3/2025 22:13:28,25 - 34,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,Yes,No,Education,Better education and learning opportunities,Privacy issues,"Yes, strict regulations",Improve,Neutral,Yes
3/3/2025 22:14:26,18 - 24,Somewhat familiar,Yes,Online shopping recommendations,Neutral,Not sure,Notsure,Education,More efficient work processes,AI becoming too autonomous,"No, AI should be developed freely",Neither,Somewhat positive,Yes
3/3/2025 22:14:34,18 - 24,,Yes,Online shopping recommendations,Somewhat trust,No,Yes,Business and finance,More efficient work processes,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Neutral,Yes
3/3/2025 22:14:45,18 - 24,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Neutral,Not sure,Yes,Everything ,More efficient work processes,Job loss and unemployment,Unsure,Improve,Somewhat negative,Yes
3/3/2025 22:15:03,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Transportation,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Neutral,Yes
3/3/2025 22:18:43,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Health care,Increased convenience,Privacy issues,"No, AI should be developed freely",Improve,Somewhat positive,Yes
3/3/2025 22:27:16,18 - 24,Very familiar,Yes,"Chat GPT, COPILOT, GEMINI ",Neutral,Yes,Yes,For All ,More efficient work processes,AI becoming too autonomous,"No, AI should be developed freely",Neither,Neutral,Yes
3/3/2025 22:27:19,35 - 44,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Yes,Education,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Somewhat positive,Yes
3/3/2025 22:36:08,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Health care,Increased convenience,"Security risks (e.g., AI hacking)","Yes, strict regulations",Improve,Somewhat positive,Yes
3/3/2025 22:38:28,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,All the sectors special in coperate ,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Neither,Somewhat positive,Yes
3/3/2025 22:41:44,45 - 54,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Yes,Health care,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Unsure,Somewhat positive,Yes
3/3/2025 22:45:31,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Neutral,Yes
3/3/2025 22:49:48,25 - 34,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,All of these,Better education and learning opportunities,AI becoming too autonomous,"Yes, but with moderate regulations",Improve,Very positive,Yes
3/3/2025 22:51:59,18 - 24,Not familiar at all,No,Online shopping recommendations,Somewhat distrust,No,No,Entertainment,Greater accessibility for people with disabilities,Job loss and unemployment,"Yes, strict regulations",Worsen,Very negative,No
3/3/2025 22:52:31,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Education,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Improve,Very positive,No
3/3/2025 23:05:29,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Not sure,Yes,Business and finance,Better education and learning opportunities,Privacy issues,"Yes, strict regulations",Unsure,Neutral,Yes
3/3/2025 23:17:01,25 - 34,Somewhat familiar,Yes,Using AI apps in mobile for creating mail formats and ask for any doubts.,Completely trust,Yes,Yes,Education,More efficient work processes,Privacy issues,"Yes, strict regulations",Improve,Neutral,Yes
3/3/2025 23:17:53,18 - 24,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,Not sure,Yes,Business and finance,More efficient work processes,AI becoming too autonomous,"Yes, strict regulations",Worsen,Neutral,Yes
3/3/2025 23:23:10,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Health care,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Somewhat positive,Yes
3/3/2025 23:37:59,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Health care,Improved healthcare,Job loss and unemployment,"Yes, but with moderate regulations",Worsen,Somewhat positive,Yes
3/3/2025 23:44:40,18 - 24,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,No,Health care,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, strict regulations",Unsure,Somewhat positive,Yes
3/3/2025 23:45:47,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Education,Increased convenience,Privacy issues,"Yes, strict regulations",Improve,Very positive,Yes
3/3/2025 23:52:10,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Yes,Yes,Education,Increased convenience,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Neutral,No
3/4/2025 0:05:56,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Yes,Education,Increased convenience,"Security risks (e.g., AI hacking)","Yes, strict regulations",Improve,Somewhat positive,Yes
3/4/2025 0:43:22,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Yes,Health care,Improved healthcare,Privacy issues,Unsure,Worsen,Neutral,Yes
3/4/2025 5:01:13,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,More efficient work processes,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Somewhat positive,Yes
3/4/2025 6:04:33,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,Notsure,Education,Greater accessibility for people with disabilities,AI becoming too autonomous,"Yes, strict regulations",Worsen,Somewhat negative,No
3/4/2025 7:02:07,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,No,Entertainment,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Unsure,Somewhat negative,No
3/4/2025 8:21:53,18 - 24,Somewhat familiar,Yes,Chat gpt,Somewhat trust,Yes,Yes,Education,Better education and learning opportunities,Privacy issues,"Yes, strict regulations",Worsen,Neutral,Yes
3/4/2025 8:31:33,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Education,Better education and learning opportunities,Job loss and unemployment,,Improve,Very positive,Yes
3/4/2025 8:33:57,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, strict regulations",Neither,Neutral,Yes
3/4/2025 8:34:36,18 - 24,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Neutral,Not sure,Yes,Education,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Neither,Neutral,Yes
3/4/2025 8:40:24,18 - 24,Somewhat familiar,Yes,Online shopping recommendations,Neutral,Yes,Yes,Health care,More efficient work processes,Job loss and unemployment,"Yes, strict regulations",Unsure,Neutral,Yes
3/4/2025 8:43:30,18 - 24,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely distrust,Yes,No,Business and finance,More efficient work processes,AI becoming too autonomous,"Yes, strict regulations",Worsen,Neutral,Yes
3/4/2025 8:43:40,18 - 24,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Education,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Unsure,Somewhat positive,Yes
3/4/2025 9:29:53,35 - 44,Not familiar at all,No,No I don't use,Somewhat distrust,No,No,Business and finance,Increased convenience,Privacy issues,"Yes, strict regulations",Worsen,Neutral,Yes
3/4/2025 10:09:44,55 -64,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Education,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Improve,Somewhat positive,Yes
3/4/2025 10:26:25,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Yes,Education,Better education and learning opportunities,Privacy issues,"Yes, strict regulations",Improve,Somewhat positive,Yes
3/4/2025 10:40:36,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,,Education,Better education and learning opportunities,AI becoming too autonomous,"Yes, strict regulations",Improve,Very positive,Yes
3/4/2025 11:53:12,18 - 24,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,No,Yes,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Somewhat negative,Yes
3/4/2025 13:36:54,18 - 24,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Education,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Neutral,Yes
3/4/2025 14:37:10,18 - 24,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Notsure,Business and finance,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Improve,Neutral,No
3/4/2025 15:26:01,18 - 24,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Yes,Yes,Business and finance,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Unsure,Somewhat positive,Yes
3/4/2025 15:39:14,18 - 24,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,Yes,,Increased convenience,,"Yes, but with moderate regulations",Neither,Neutral,Yes
3/4/2025 23:00:05,18 - 24,Very familiar,Yes,Online shopping recommendations,Completely trust,Yes,Yes,Health care,Increased convenience,Job loss and unemployment,"Yes, strict regulations",Improve,Very positive,Yes
3/5/2025 10:38:35,18 - 24,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Yes,Education,Increased convenience,Privacy issues,"Yes, but with moderate regulations",Improve,Very positive,Yes
3/5/2025 12:01:00,18 - 24,Somewhat familiar,Yes,"Finding notes , articles, documentation , suggestions and research for study using chatgpt or gemini",Completely trust,Yes,Yes,Health care,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Very positive,Yes
3/5/2025 18:45:49,18 - 24,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Somewhat positive,No
4/7/2025 16:28:12,35 - 44,Somewhat familiar,No,Online shopping recommendations,Neutral,Yes,Notsure,Entertainment,More efficient work processes,AI becoming too autonomous,"Yes, strict regulations",Worsen,Somewhat negative,Yes
4/7/2025 16:28:13,18 - 24,Not familiar at all,No,Online shopping recommendations,Neutral,Yes,Notsure,Business and finance,Improved healthcare,Privacy issues,"No, AI should be developed freely",Unsure,Somewhat negative,Yes
4/7/2025 16:28:14,35 - 44,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Yes,Business and finance,Improved healthcare,AI becoming too autonomous,"No, AI should be developed freely",Improve,Very positive,Yes
4/7/2025 16:28:15,55 -64,Not familiar at all,Yes,Online shopping recommendations,Completely distrust,No,No,Entertainment,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Improve,Neutral,Yes
4/7/2025 16:28:16,18 - 24,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Not sure,No,Business and finance,More efficient work processes,Job loss and unemployment,"No, AI should be developed freely",Unsure,Somewhat negative,No
4/7/2025 16:28:17,35 - 44,Very familiar,Yes,"Email filtering (e.g., spam detection)",Neutral,No,No,Education,Increased convenience,AI becoming too autonomous,"No, AI should be developed freely",Unsure,Somewhat positive,No
4/7/2025 16:28:17,25 - 34,Very familiar,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,Not sure,Notsure,Transportation,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Improve,Very negative,Yes
4/7/2025 16:28:18,35 - 44,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Notsure,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Neutral,No
4/7/2025 16:28:19,18 - 24,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Yes,Notsure,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat negative,Yes
4/7/2025 16:28:20,45 - 54,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Notsure,Transportation,Improved healthcare,Job loss and unemployment,"Yes, strict regulations",Unsure,Very negative,Yes
4/7/2025 16:28:20,25 - 34,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,Not sure,No,Health care,Improved healthcare,Privacy issues,Unsure,Neither,Neutral,Yes
4/7/2025 16:28:21,18 - 24,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Yes,No,Business and finance,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Improve,Somewhat negative,Yes
4/7/2025 16:28:22,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,No,Health care,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Unsure,Somewhat positive,No
4/7/2025 16:28:23,Under 18,Not familiar at all,No,"Email filtering (e.g., spam detection)",Somewhat trust,Yes,No,Entertainment,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Very positive,Yes
4/7/2025 16:28:23,25 - 34,Very familiar,No,Online shopping recommendations,Neutral,No,No,Transportation,Better education and learning opportunities,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Somewhat positive,Yes
4/7/2025 16:28:24,25 - 34,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,No,Notsure,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Improve,Somewhat positive,No
4/7/2025 16:28:25,18 - 24,Very familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Completely trust,No,Yes,Education,Better education and learning opportunities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Neutral,Yes
4/7/2025 16:28:26,45 - 54,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Notsure,Education,Increased convenience,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Neutral,No
4/7/2025 16:28:27,55 -64,Not familiar at all,Yes,Online shopping recommendations,Somewhat trust,No,No,Education,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Neutral,No
